user_id,item_id,rating,Timestamp
4783,109,1,963253744
4071,482,1,965453974
3133,433,1,969083839
3216,983,1,968778585
886,1126,1,975259282
1320,386,1,974778720
663,275,1,975992760
1183,134,1,974852519
525,214,1,976161656
4301,447,1,965267876
2220,643,1,974600961
4014,617,1,965532925
6039,376,1,960971916
1799,612,1,981158391
1322,1526,1,974777370
3520,470,1,966920911
2240,757,1,974596547
2906,711,1,971839440
1793,132,1,974704364
5542,996,1,960101454
3562,990,1,966787932
4350,740,1,965373905
1338,1919,1,974870678
5811,238,1,963642366
5288,733,1,961083341
3169,147,1,968806517
948,293,1,975392084
1901,128,1,974762410
5504,632,1,959732202
1874,183,1,975767628
2875,526,1,972407904
1374,2237,1,974767912
4866,2671,1,962892440
6015,1897,1,956959374
5141,642,1,962042229
5662,970,1,958769080
5929,210,1,957233881
3326,156,1,967867508
1697,2494,1,975874681
5267,126,1,961170396
481,52,1,976218791
4997,618,1,962593278
2352,14,1,1020468865
3518,89,1,967574732
318,1339,1,976422997
1578,1267,1,989257742
3482,1831,1,967066849
308,939,1,976553278
1244,1670,1,974829507
790,1261,1,975424698
2062,2635,1,975361778
880,1399,1,975264157
549,595,1,976162939
1843,2091,1,974697260
4578,123,1,969751221
3767,1290,1,966062951
1284,48,1,974791324
3996,2796,1,965581025
4436,564,1,965184285
57,236,1,977936590
1861,2250,1,974695648
2819,54,1,972657251
3941,558,1,965775158
299,15,1,976505568
1394,1075,1,1019425276
1376,2054,1,974773503
5675,1784,1,958677600
3743,335,1,966140645
5045,1596,1,962501413
4093,148,1,965420733
2637,123,1,973573069
5343,143,1,960675275
918,2487,1,975202593
1665,447,1,974712388
4126,1205,1,965356537
775,211,1,975605866
4949,335,1,962946569
4380,1351,1,965177486
2024,533,1,979514684
5616,586,1,959128257
4168,1156,1,971581085
4341,177,1,965231845
2041,723,1,974670291
1207,283,1,974843025
1087,1686,1,988930201
4131,919,1,965350609
6035,790,1,956709526
453,1998,1,1025574331
1366,537,1,974770014
204,1457,1,976923808
348,1958,1,1023243070
2825,560,1,972601673
1219,58,1,974925524
5786,559,1,958109212
236,352,1,992229302
1642,1244,1,1011840937
1957,268,1,1003955789
2577,1258,1,973895690
1670,484,1,1018299263
1240,949,1,974860963
1982,209,1,974685415
4211,203,1,965318712
259,124,1,976670759
4121,603,1,965359235
480,1475,1,976217729
1149,1609,1,975197425
2678,591,1,973439295
2942,2232,1,971320180
5449,562,1,985022847
4468,211,1,965067541
1987,1588,1,975118763
5635,1641,1,960521816
3766,317,1,966081106
2589,2020,1,973841028
5489,1629,1,959815771
3181,971,1,968779335
5332,396,1,960825436
2402,2279,1,974258980
1287,143,1,974793109
638,112,1,979471145
4915,141,1,962675963
2062,214,1,975743015
1979,794,1,974684726
5172,1155,1,979938377
5452,880,1,1029358745
1272,576,1,974813978
4916,105,1,962677348
3776,530,1,966035370
5808,132,1,957987717
1789,1049,1,974707961
4657,32,1,963966786
2461,1038,1,974170860
1323,315,1,974777365
845,1566,1,975355917
5510,1366,1,959787029
4848,632,1,963421140
4543,2702,1,964661750
5538,530,1,968170161
769,1531,1,980589906
1334,2474,1,974776842
1670,71,1,974713421
2675,105,1,973401830
4866,50,1,999895055
1633,1834,1,974716347
4976,2920,1,962637541
1009,187,1,975218863
5223,1931,1,961519586
3095,126,1,989437556
4271,990,1,965301638
2130,1018,1,975212058
3011,60,1,1044067403
5073,802,1,962432003
4507,166,1,964982372
3454,343,1,967233492
1127,200,1,974908358
2664,2043,1,974650459
4789,189,1,963105587
1189,392,1,974850171
1747,1154,1,974704852
5770,678,1,958171151
4197,1295,1,965323155
6009,38,1,957461872
4947,603,1,962645534
690,5,1,975570661
5812,445,1,957916891
236,1298,1,992129877
3704,342,1,966288225
4053,2654,1,965501326
1840,1711,1,974745941
5311,1231,1,962304156
1874,2049,1,975769593
1612,2144,1,974733856
1026,525,1,975003119
776,38,1,975519598
1947,1015,1,974692192
4459,67,1,965073003
2736,229,1,973225955
1342,1270,1,975804194
5796,788,1,958062348
507,1063,1,976211098
1625,536,1,974723628
3466,629,1,967160689
5411,195,1,960241107
1284,1347,1,975457932
4903,602,1,962684558
880,1241,1,1014314691
4578,1118,1,1008574443
1723,1181,1,975915015
453,522,1,1025237114
848,639,1,975350675
3651,740,1,966459981
4969,2232,1,962606422
301,2615,1,976506902
3859,416,1,965860869
3973,2885,1,965654437
2785,489,1,973558944
3489,728,1,967049569
4658,166,1,963877863
5960,328,1,957026201
5794,671,1,958146156
3311,911,1,1014550974
5928,171,1,957248628
1896,761,1,1017696557
2185,767,1,974607869
5000,797,1,1019973588
3421,116,1,967361085
2071,708,1,974660804
4417,1252,1,1018135107
3446,1049,1,967265326
636,580,1,975734808
3121,499,1,969325976
1675,1353,1,974800101
2086,603,1,974654827
5815,338,1,957915154
3899,1376,1,965876167
1608,576,1,974742545
2009,968,1,974677459
3538,1136,1,966930795
2021,1194,1,994192774
772,69,1,975441030
4049,26,1,966105214
3399,748,1,967466931
5970,647,1,958958552
3052,177,1,970601864
145,1001,1,979940868
5270,2443,1,961141750
1210,479,1,976218126
1049,1091,1,974963305
5642,361,1,958890088
5600,2585,1,959211157
3322,2513,1,968985737
2091,77,1,978302757
470,528,1,976224710
274,1251,1,976592518
1464,645,1,974767407
6002,1185,1,956982822
4896,596,1,962718826
3066,2327,1,970003993
1202,1604,1,1006717889
2201,815,1,974605636
518,104,1,976201124
3482,1835,1,967918622
1721,1158,1,974704617
2736,676,1,973228155
2224,160,1,974679539
4354,96,1,965191311
3852,127,1,965874467
646,738,1,975714583
2642,792,1,973564397
3028,205,1,970368254
3767,192,1,966066433
1021,484,1,975007711
3546,1387,1,966837025
4275,925,1,965295821
145,205,1,979940315
3043,1001,1,970211423
5503,1321,1,959738514
3319,60,1,968522039
437,334,1,976251544
290,1675,1,976565540
168,629,1,977187621
5877,475,1,957550286
3668,73,1,966380274
4386,290,1,965434780
3525,605,1,966907403
3142,524,1,969493115
5640,91,1,958926270
5128,1851,1,962133815
3487,1723,1,967051033
5348,238,1,960663947
1116,19,1,975955946
3846,1351,1,965882580
5579,508,1,996168044
1038,790,1,974980472
4265,69,1,965304279
3215,183,1,968460756
2536,664,1,974054396
5099,1488,1,962740377
5432,59,1,960240260
1570,1023,1,974738751
1658,110,1,974711854
2154,1817,1,974618390
3284,1928,1,968117808
2792,136,1,972930326
2506,1935,1,974082656
1039,96,1,974981402
423,2037,1,1024320697
1679,238,1,974715488
3791,1125,1,976297046
4801,903,1,996407543
4505,23,1,964981541
969,849,1,975978249
304,1816,1,976497991
1341,740,1,974774730
1289,308,1,974790578
539,535,1,976126433
1803,516,1,974778792
1789,1248,1,974701358
3933,678,1,965704304
743,2116,1,975469992
5414,104,1,960232920
4919,998,1,962672231
5538,1200,1,959919497
202,2743,1,976929358
4226,717,1,965314831
248,1113,1,976729367
1807,168,1,974697693
3655,3043,1,966449028
4505,1264,1,964983620
4888,27,1,962736365
3807,72,1,965968395
1696,415,1,974708786
4646,1053,1,984289129
5152,1586,1,961970439
4878,1418,1,962768514
2283,2434,1,974527859
5957,2098,1,957063154
4550,795,1,964559334
3768,734,1,966638048
4680,1979,1,963682515
4054,363,1,965495553
2488,1155,1,974141154
4956,686,1,962908001
1493,331,1,974749293
3714,1209,1,966266125
4950,1106,1,962643910
2872,417,1,972414536
5999,62,1,956839289
